City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,west island,-12.1568,96.8225,25.99,89,40,3.09,CC,1731877528
84,port mathurin,-19.6833,63.4167,24.39,85,99,10.53,MU,1731877529
85,utrik,11.2278,169.8474,28.27,77,6,7.27,MH,1731877531
86,alofi,-19.0595,-169.9187,24.94,83,100,8.23,NU,1731877532
87,mahina,-17.5065,-149.489,27.87,74,0,2.06,PF,1731877533
88,jamestown,42.097,-79.2353,10.57,65,0,2.57,US,1731877432
89,st. john's,47.5649,-52.7093,11.2,97,100,5.66,CA,1731877536
90,colonia,50.9333,6.95,6.65,84,75,2.57,DE,1731877537
91,jining,35.405,116.5814,6.68,40,99,3.06,CN,1731877538
92,mount isa,-20.7333,139.5,24.87,78,40,4.12,AU,1731877539
93,tromso,69.6496,18.957,2.01,87,75,3.6,NO,1731877540
94,yelizovo,53.1873,158.3805,4.08,87,100,4.0,RU,1731877543
95,arawa,-6.2132,155.5367,28.04,77,9,0.83,PG,1731877544
96,kapuskasing,49.4169,-82.4331,5.05,100,100,5.66,CA,1731877545
97,chonchi,-42.6128,-73.8092,15.05,51,1,2.47,CL,1731877546
98,outjo,-20.1167,16.15,26.16,37,65,4.76,NA,1731877547
99,talnakh,69.4865,88.3972,-9.28,95,100,4.55,RU,1731877349
100,port elizabeth,-33.918,25.5701,19.16,97,0,4.63,ZA,1731877549
101,newman,37.3138,-121.0208,15.59,42,0,0.45,US,1731877551
102,altamont,42.2068,-121.7372,5.43,89,100,1.34,US,1731877303
103,honefoss,60.168,10.2565,1.59,74,100,0.87,NO,1731877553
104,ciudad manuel doblado,20.7333,-101.9333,26.89,31,98,5.29,MX,1731877554
105,ancud,-41.8697,-73.8203,13.92,62,3,1.46,CL,1731877363
106,kupang,-10.1667,123.5833,27.32,89,93,0.39,ID,1731877556
107,bensonville,6.4461,-10.6125,24.79,91,81,1.82,LR,1731877558
108,tauranga,-37.6861,176.1667,18.62,55,0,1.34,NZ,1731877559
109,weno,7.4515,151.8468,28.72,76,55,5.92,FM,1731877560
110,puerto natales,-51.7236,-72.4875,11.25,50,75,7.72,CL,1731877324
111,macapa,0.0389,-51.0664,31.99,62,40,5.14,BR,1731877271
112,nueva gerona,21.8833,-82.8,26.3,62,89,5.36,CU,1731877388
113,taulaga,-11.0553,-171.0883,27.49,78,100,10.65,AS,1731877564
114,atafu village,-8.5421,-172.5159,28.35,73,53,5.53,TK,1731877565
115,inarajan village,13.2736,144.7484,25.78,88,88,5.59,GU,1731877567
116,dawesville,30.9224,-84.0091,23.23,54,0,0.0,US,1731877568
117,woolgoolga,-30.1106,153.2007,22.19,84,100,6.12,AU,1731877569
118,alotau,-10.3069,150.4462,26.71,85,97,1.66,PG,1731877570
119,anadyr,64.75,177.4833,-24.72,75,0,4.0,RU,1731877571
120,vorgashor,67.5833,63.95,-18.5,100,72,2.16,RU,1731877572
121,kralendijk,12.15,-68.2667,29.99,70,20,4.12,BQ,1731877573
122,longyearbyen,78.2186,15.6401,-8.09,53,20,3.6,SJ,1731877574
123,nishinoomote,30.7333,131.0,20.16,71,0,10.42,JP,1731877576
124,nemuro,43.3236,145.575,2.06,85,100,10.82,JP,1731877566
125,polyarnyy,69.1989,33.4478,0.82,76,100,6.52,RU,1731877578
126,la huacana,18.9667,-101.8167,31.53,42,31,1.73,MX,1731877579
127,juruti,-2.1522,-56.0922,34.35,35,20,2.43,BR,1731877581
128,cassilandia,-19.1133,-51.7342,25.59,84,56,2.03,BR,1731877362
129,lebu,-37.6167,-73.65,13.46,75,2,8.14,CL,1731877356
130,hermanus,-34.4187,19.2345,14.33,91,4,1.95,ZA,1731877442
131,oyon,-10.6681,-76.7731,3.58,88,100,2.98,PE,1731877586
132,hadibu,12.65,54.0333,25.85,73,54,4.62,YE,1731877588
133,tiksi,71.6872,128.8694,-28.21,99,57,2.85,RU,1731877589
134,kirensk,57.7853,108.1119,-5.65,84,100,5.5,RU,1731877590
135,arkhangel'sk,64.5401,40.5433,1.06,100,100,2.0,RU,1731877591
136,tateyama,34.9833,139.8667,16.35,83,99,8.7,JP,1731877592
137,kailua-kona,19.6406,-155.9956,28.64,71,20,4.12,US,1731877594
138,bayanhongor,46.7167,100.1167,-20.08,82,3,1.57,MN,1731877595
139,ad dabbah,18.05,30.95,22.57,23,0,5.87,SD,1731877596
140,kaltungo,9.8142,11.3089,23.19,25,62,2.27,NG,1731877597
141,mezhdurechensk,53.6942,88.0603,-4.79,92,99,1.45,RU,1731877598
142,arraial do cabo,-22.9661,-42.0278,23.98,100,75,6.17,BR,1731877303
143,saipan,15.1355,145.701,27.39,82,20,4.12,MP,1731877601
144,fedorovskiy,45.0972,40.9517,0.67,95,0,2.75,RU,1731877602
145,tolanaro,-25.0319,46.9987,23.6,93,100,3.92,MG,1731877603
146,namibe,-15.1961,12.1522,23.82,75,70,1.51,AO,1731877604
147,arimalam,10.2667,78.9,23.27,91,100,4.2,IN,1731877605
